player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Brayden Johnson,200049,LB,WYOMING,12,256,0,351,2,-4.0,100.0,71.4,15.7,15.7,0,1,16.7,72.6,1,25,33.3,3,1,66.7,6,100,39.1,140,2,4,6,0,57,81,0.6,9.5,0,2,6.3,66.7,82.3,11.1,7.4,0,2,16.7,80.7,0,14,16.7,2,1,78.1,8,93,36.3,113,4,8,12,0,59,19,0.7,7.4
Esaia Bogar,200050,ED,WYOMING,10,21,0,351,0,,,20.0,,,0,0,,64.2,0,,0.0,0,0,0.0,0,9,42.9,45,1,1,0,0,0,0,0.0,,0,0,-1.0,100.0,16.7,8.0,8.0,0,0,0.0,55.1,0,9,100.0,1,0,104.2,1,8,38.1,48,1,0,1,0,9,10,1.1,9.0
Tyson Deen,200072,CB,WYOMING,3,19,0,351,0,6.8,50.0,100.0,4.0,2.0,0,0,0.0,52.0,0,9,100.0,1,0,95.8,2,9,47.4,9,0,0,4,1,11,8,1.4,5.5,0,0,7.0,100.0,100.0,7.0,7.0,0,0,0.0,65.5,0,8,0.0,0,0,100.0,1,7,36.8,7,1,1,1,0,8,1,1.1,8.0
JJ Shelton,200077,LB,ARKANSAS,5,27,0,111,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,1,-0.5,100.0,87.5,7.0,7.0,0,0,0.0,41.1,0,22,0.0,0,0,118.8,2,14,51.9,16,1,2,2,0,27,28,1.9,13.5
Nigel Pringle,200079,CB,ARKANSAS,4,11,0,111,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,0.0,100.0,100.0,3.0,3.0,0,0,0.0,71.6,0,1,0.0,0,0,79.2,1,4,36.4,4,1,1,1,0,1,1,0.3,1.0
Taijh Overton,200082,S,ARKANSAS,1,1,0,111,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
Keshawn Davila,200087,CB,ARKANSAS,6,39,0,111,0,8.3,25.0,100.0,16.0,4.0,0,2,50.0,67.2,0,18,50.0,1,2,85.4,1,18,46.2,18,0,1,4,1,18,15,1.1,18.0,0,1,6.0,100.0,100.0,17.0,17.0,0,0,0.0,57.2,0,6,0.0,0,0,91.7,1,18,46.2,18,0,0,1,0,6,0,0.4,6.0
Tavion Wallace,200101,LB,ARKANSAS,2,2,0,111,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Bo Onu,200103,S,BAYLOR,5,24,0,118,0,,,71.4,,,0,0,,64.3,0,,0.0,0,0,0.0,0,10,41.7,14,1,1,0,0,0,0,0.0,,0,0,-2.0,100.0,84.6,5.5,5.5,0,0,0.0,56.0,0,14,100.0,1,0,110.4,2,11,45.8,13,0,0,2,0,21,25,1.9,10.5
Kamauryn Morgan,200104,ED,BAYLOR,9,4,0,118,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,26,0,0,0,0,0,0,,,0,0,5.0,0.0,10.3,,4.0,0,0,0.0,64.6,0,,0.0,0,0,39.6,0,4,100.0,39,0,2,1,0,0,0,0.0,
Jalen Wiggins,200119,ED,FLORIDA,3,3,0,163,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,-5.0,0.0,25.0,,2.0,0,0,0.0,60.5,0,,,0,0,39.6,0,2,66.7,8,0,0,1,0,0,0,0.0,
Ty Jackson,200120,LB,FLORIDA,1,3,0,163,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.7,0,,,0,0,0.0,0,2,66.7,2,0,0,0,0,0,0,0.0,
Drake Stubbs,200123,S,FLORIDA,2,31,0,163,0,,,100.0,,,0,0,,64.8,0,,0.0,0,0,0.0,0,4,12.9,4,0,1,0,0,0,0,0.0,,0,0,6.0,100.0,92.0,10.5,10.5,0,0,0.0,66.0,0,27,0.0,0,0,118.8,2,23,74.2,25,0,1,2,0,37,25,1.8,18.5
Ben Hanks III,200133,CB,FLORIDA,3,78,0,163,1,6.0,100.0,100.0,14.0,14.0,0,0,0.0,62.3,0,7,0.0,0,0,95.8,1,14,17.9,14,0,2,1,0,7,1,0.5,7.0,0,1,13.5,75.0,100.0,7.0,5.3,0,2,25.0,61.1,0,47,25.0,2,2,154.2,6,45,57.7,45,1,5,8,1,96,28,2.3,16.0
Lagonza Hayward,200134,S,FLORIDA,8,64,0,163,0,0.0,100.0,88.9,8.0,8.0,0,0,0.0,65.5,0,1,0.0,0,0,79.2,1,8,12.5,9,1,1,1,0,1,1,0.1,1.0,0,1,4.7,50.0,83.0,14.7,7.3,0,0,0.0,61.9,0,20,16.7,1,0,69.4,3,44,68.8,53,3,4,6,0,37,18,0.8,12.3
Jayden Woods,200135,ED,FLORIDA,12,52,0,163,0,,,8.7,,,0,0,,62.2,0,,50.0,1,0,0.0,0,2,3.8,23,1,1,0,0,0,0,0.0,,0,2,5.3,50.0,31.9,14.0,7.0,0,1,16.7,66.8,1,4,28.6,2,0,16.7,3,43,82.7,135,4,3,6,0,9,8,0.2,3.0
Martels Carter Jr.,200143,S,KENTUCKY,2,28,0,202,0,,,100.0,,,0,0,,60.9,0,,,0,0,0.0,0,2,7.1,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,62.6,0,,33.3,1,0,0.0,0,22,78.6,22,0,2,0,0,0,0,0.0,
Demarcus Gardner,200144,CB,KENTUCKY,3,9,0,202,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,5.5,100.0,100.0,2.5,2.5,0,0,0.0,57.5,0,9,0.0,0,0,97.9,2,5,55.6,5,1,2,2,0,15,4,3.0,7.5
Dyllon Williams,200147,S,KENTUCKY,3,16,0,202,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,64.8,0,,,0,0,0.0,0,11,68.8,11,0,0,0,0,0,0,0.0,
Kellen Wiley Jr.,200164,LB,MIAMI FL,3,7,0,220,0,-0.5,100.0,66.7,1.0,1.0,0,0,0.0,28.9,0,28,66.7,2,0,118.8,2,2,28.6,3,0,1,2,0,41,42,20.5,20.5,0,0,1.0,100.0,71.4,1.7,1.7,0,0,0.0,54.3,0,7,66.7,2,0,86.1,3,5,71.4,7,0,1,3,0,14,11,2.8,4.7
Chris Ewald Jr.,200171,CB,MIAMI FL,2,8,0,220,0,,,100.0,,,0,0,,62.8,0,,,0,0,0.0,0,4,50.0,4,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,61.5,0,,,0,0,0.0,0,2,25.0,2,0,0,0,0,0,0,0.0,
Ja'boree Antoine,200172,CB,MIAMI FL,7,50,0,220,0,18.5,50.0,100.0,13.0,6.5,0,1,50.0,55.2,0,15,50.0,1,1,75.0,1,14,28.0,14,0,1,2,0,15,0,1.2,15.0,0,1,17.5,75.0,100.0,8.7,6.5,0,0,0.0,53.8,0,24,0.0,0,0,151.0,3,26,52.0,26,0,1,4,2,45,12,1.7,15.0
