player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Zion Tracy,170301,S,PENN STATE,11,245,0,266,0,8.3,63.6,94.9,9.7,6.2,0,1,9.1,47.6,0,21,100.0,1,0,117.4,7,74,30.2,78,1,0,11,3,60,25,0.9,8.6,0,2,2.8,83.3,94.2,7.5,6.2,0,1,5.6,68.2,0,45,0.0,0,1,116.0,15,113,46.1,120,4,9,18,1,133,94,1.2,8.9
Elliot Washington II,170303,CB,PENN STATE,12,136,0,266,1,20.7,35.7,100.0,9.4,3.4,0,3,21.4,72.9,1,53,0.0,0,3,65.5,5,50,36.8,50,1,5,14,1,133,20,2.8,26.6,0,1,20.3,75.0,100.0,19.7,14.8,0,0,0.0,54.0,0,57,33.3,1,0,116.7,3,59,43.4,59,0,1,4,0,76,17,1.3,25.3
Bo Mascoe,170313,CB,RUTGERS,12,320,0,278,0,11.8,55.0,100.0,12.4,6.8,0,3,15.0,74.9,0,59,10.0,1,2,113.3,11,145,45.3,145,2,9,20,2,154,109,1.1,14.0,0,6,7.9,82.4,100.0,9.4,7.8,0,0,0.0,71.2,0,38,11.8,2,0,142.2,14,138,43.1,138,2,9,17,2,148,40,1.1,10.6
Jesse Ofurie,170314,S,RUTGERS,5,9,0,278,0,21.0,100.0,100.0,3.0,3.0,0,0,0.0,40.4,0,44,,0,0,118.8,1,4,44.4,4,0,0,1,0,44,23,14.7,44.0,0,0,,,100.0,,,0,0,,63.3,0,,,0,0,0.0,0,5,55.6,5,0,0,0,0,0,0,0.0,
Abram Wright,170320,LB,RUTGERS,11,204,0,278,0,3.2,100.0,66.1,13.6,13.6,0,0,0.0,64.1,0,12,16.7,1,0,138.8,5,72,35.3,109,2,5,5,1,39,23,0.6,7.8,0,2,6.1,83.3,92.9,10.2,8.5,0,0,0.0,63.2,0,24,8.3,1,0,137.8,10,104,51.0,112,4,9,12,1,125,79,1.2,12.5
Jace Arnold,170321,S,SM HOUSTON,11,191,0,281,0,11.8,58.3,97.3,9.9,5.8,0,1,8.3,57.5,0,35,16.7,1,1,122.6,7,72,37.7,74,3,5,12,2,93,31,1.3,13.3,0,3,4.4,87.5,92.6,10.3,9.0,0,0,0.0,54.5,0,26,50.0,4,0,106.3,7,75,39.3,81,0,1,8,0,76,70,1.1,10.9
Jonas Duclona,170322,CB,USF,13,326,0,327,0,15.7,66.7,100.0,23.0,15.3,0,1,33.3,62.1,0,17,0.0,0,1,86.8,2,51,15.6,51,1,1,3,0,21,10,0.5,10.5,0,3,13.1,55.0,97.2,21.3,11.7,1,1,5.0,79.5,1,39,4.3,1,1,65.4,11,244,74.8,251,5,19,20,1,104,29,0.4,9.5
Braedyn Moore,170326,S,TOLEDO,7,51,0,316,0,,,88.9,,,0,0,,64.1,0,,,0,0,0.0,0,8,15.7,9,0,0,0,0,0,0,0.0,,0,1,26.5,50.0,100.0,27.0,13.5,0,0,0.0,44.7,0,32,0.0,0,0,95.8,1,30,58.8,30,0,1,2,0,32,4,1.2,32.0
Ashlynd Barker,170330,S,FLORIDA ST,11,247,0,167,0,1.5,75.0,90.9,19.7,14.8,0,0,0.0,61.8,0,10,0.0,0,0,77.1,3,60,24.3,66,0,6,4,0,11,14,0.2,3.7,0,1,6.4,50.0,97.3,20.1,10.1,0,1,7.1,68.5,0,50,23.1,3,1,72.3,7,146,59.1,150,4,9,14,0,96,52,0.7,13.7
Ashton Bracewell,170331,LB,FLORIDA ST,2,5,0,167,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,75.0,,,0,0,,61.4,0,,,0,0,0.0,0,3,60.0,4,0,0,0,0,0,0,0.0,
Grant Fielder,170334,ED,FLORIDA ST,3,1,0,167,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,0,,,11.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,9,0,0,0,0,0,0,0.0,
Donny Hiebert,170338,S,FLORIDA ST,4,22,0,167,0,3.0,0.0,100.0,,2.0,0,0,0.0,61.6,0,,,0,0,39.6,0,4,18.2,4,0,0,1,0,0,0,0.0,,0,2,4.0,0.0,100.0,,13.0,0,0,0.0,59.4,0,,0.0,0,0,39.6,0,14,63.6,14,0,0,1,0,0,0,0.0,
Conrad Hussey,170340,CB,OREGON ST,3,25,0,265,1,10.0,50.0,100.0,9.0,4.5,0,1,50.0,68.8,0,16,0.0,0,1,77.1,1,9,36.0,9,0,1,2,0,16,5,1.8,16.0,0,0,17.5,100.0,100.0,5.0,5.0,0,0,0.0,53.5,0,23,0.0,0,0,158.3,2,11,44.0,11,1,1,2,1,36,1,3.6,18.0
Quindarrius Jones,170342,CB,FLORIDA ST,4,38,0,167,0,13.5,50.0,100.0,9.0,4.5,0,0,0.0,49.8,0,14,0.0,0,0,72.9,1,9,23.7,9,0,1,2,0,14,12,1.6,14.0,0,2,9.3,75.0,100.0,6.3,4.8,0,0,0.0,72.8,0,5,0.0,0,0,77.1,3,22,57.9,22,3,3,4,0,2,3,0.1,0.7
Jaden Jones,170343,ED,FLORIDA ST,11,3,0,167,0,,,3.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,30,0,0,0,0,0,0,0.0,,0,0,,,4.0,,,0,0,,61.5,0,,50.0,1,0,0.0,0,2,66.7,50,0,1,0,0,0,0,0.0,
Edwin Joseph,170344,S,FLORIDA ST,12,313,0,167,0,14.3,44.4,94.6,10.5,4.7,0,3,16.7,64.3,2,17,33.3,1,2,59.5,8,88,28.1,93,0,2,18,3,88,32,1.0,11.0,0,5,4.0,78.3,97.9,9.9,7.7,1,3,13.0,61.8,1,34,11.8,2,3,107.2,18,184,58.8,188,4,10,23,2,164,118,0.9,9.1
K.J. Kirkland,170345,S,FLORIDA ST,11,115,0,167,0,6.5,75.0,82.1,9.7,7.3,0,0,0.0,52.1,0,16,20.0,1,0,103.1,3,32,27.8,39,1,4,4,0,37,27,1.3,12.3,0,1,8.4,87.5,94.2,9.1,8.0,0,0,0.0,35.7,0,75,14.3,1,0,158.3,7,65,56.5,69,1,5,8,1,164,115,2.6,23.4
Blake Nichelson,170350,LB,FLORIDA ST,12,185,0,167,2,3.0,100.0,61.7,18.5,18.5,0,0,0.0,60.4,0,8,33.3,2,0,100.0,2,37,20.0,60,0,2,2,0,16,10,0.4,8.0,0,1,-0.6,100.0,91.2,17.0,17.0,0,0,0.0,58.8,0,36,12.5,1,0,118.8,7,124,67.0,136,4,6,7,0,91,95,0.8,13.0
Ja'Bril Rawls,170353,CB,FLORIDA ST,7,203,0,167,0,8.9,57.1,93.2,13.5,7.7,0,2,28.6,65.7,0,24,33.3,2,2,121.4,4,55,27.1,59,1,4,7,1,54,34,1.0,13.5,0,2,7.9,58.3,100.0,16.1,9.4,0,0,0.0,73.8,1,8,7.7,1,0,28.5,7,115,56.7,115,5,10,12,0,26,16,0.2,3.7
DeMarco Ward,170359,S,MEMPHIS,12,326,0,218,1,15.5,61.5,100.0,10.6,6.5,0,1,7.7,55.1,0,36,10.0,1,0,105.3,8,92,28.2,92,2,8,13,0,162,62,1.9,20.3,0,1,11.0,69.2,98.4,9.8,6.8,0,0,0.0,56.4,1,62,5.9,1,0,93.1,18,186,57.1,189,5,15,26,1,228,94,1.3,12.7
Kamal Bonner,170366,LB,MIAMI FL,4,17,0,220,0,21.0,100.0,100.0,4.0,4.0,0,0,0.0,41.3,0,17,,0,0,158.3,1,4,23.5,4,0,0,1,1,17,0,4.3,17.0,0,1,,,100.0,,,0,0,,72.5,0,,0.0,0,0,0.0,0,10,58.8,10,1,1,0,0,0,0,0.0,
Brandon Cisse,170368,CB,S CAROLINA,12,269,0,289,1,15.4,47.1,97.7,10.4,4.9,1,5,29.4,61.6,0,53,16.7,1,5,105.8,8,86,32.0,88,0,4,17,1,183,73,2.2,22.9,0,0,15.7,47.4,98.8,16.1,7.6,0,3,15.8,72.1,1,76,22.2,2,2,56.5,9,159,59.1,161,2,7,19,0,168,84,1.2,18.7
Red Hibbler,170370,ED,MISS STATE,12,2,0,227,0,,,1.9,,,0,0,,65.0,0,,0.0,0,0,0.0,0,1,50.0,54,1,1,0,0,0,0,0.0,,0,0,,,1.3,,,0,0,,60.0,0,,100.0,2,0,0.0,0,1,50.0,79,1,0,0,0,0,0,0.0,
Zack Myers,170376,S,NC STATE,2,6,0,248,0,3.0,100.0,100.0,4.0,4.0,0,0,0.0,72.2,0,7,0.0,0,0,95.8,1,4,66.7,4,1,1,1,0,7,4,1.8,7.0,0,0,,,100.0,,,0,0,,62.5,0,,0.0,0,0,0.0,0,1,16.7,1,1,1,0,0,0,0,0.0,
Isaiah Shirley,170380,DI,NC STATE,13,1,0,248,0,,,2.6,,,0,0,,59.6,0,,0.0,0,0,0.0,0,1,100.0,39,1,1,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,69.3,1,,0.0,0,0,0.0,0,0,0.0,131,0,1,0,0,0,0,,
David Omopariola,170386,ED,SYRACUSE,12,28,0,304,0,28.0,0.0,8.2,,4.0,0,0,0.0,50.6,0,,,0,0,39.6,0,4,14.3,49,0,0,1,0,0,0,0.0,,0,0,8.0,75.0,20.0,5.7,4.3,0,0,0.0,63.3,0,27,16.7,1,0,112.5,3,18,64.3,90,2,5,4,0,46,18,2.7,15.3
Keith Christein,170412,CB,JVILLE ST,1,2,0,196,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,-3.0,100.0,100.0,1.0,1.0,0,0,0.0,60.5,0,3,0.0,0,0,79.2,2,2,100.0,2,1,1,2,0,0,6,0.0,0.0
Tae Floyd,170419,ED,JVILLE ST,6,19,0,196,0,,,13.3,,,0,0,,60.1,0,,,0,0,0.0,0,2,10.5,15,0,0,0,0,0,0,0.0,,0,0,,,60.7,,,0,0,,71.8,0,,0.0,0,0,0.0,0,17,89.5,28,2,3,0,0,0,0,0.0,
Travis Franklin Jr.,170420,S,JVILLE ST,12,191,0,196,3,7.0,80.0,94.1,15.3,12.2,0,0,0.0,52.3,0,11,0.0,0,0,122.9,4,64,33.5,68,2,4,5,1,20,12,0.3,5.0,0,1,16.7,58.3,100.0,13.6,7.9,1,3,25.0,76.8,0,40,18.2,2,3,116.7,7,99,51.8,99,4,8,12,1,110,10,1.2,15.7
Geimere Latimer II,170426,CB,WISCONSIN,12,267,0,349,0,12.0,57.1,98.1,12.8,7.3,0,0,0.0,48.1,0,41,33.3,1,0,141.4,4,53,19.9,54,0,2,7,1,90,40,1.8,22.5,0,4,4.2,87.5,95.2,8.2,7.2,0,0,0.0,66.7,0,75,13.0,3,0,145.3,21,180,67.4,189,7,16,24,2,293,207,1.7,14.0
Walker O'Steen,170430,LB,JVILLE ST,14,266,0,196,0,1.0,66.7,64.6,26.0,17.3,0,0,0.0,63.6,0,7,33.3,1,0,74.3,2,53,19.9,82,4,2,3,0,12,13,0.2,6.0,0,4,8.6,81.1,95.0,5.4,4.4,0,0,0.0,37.8,3,36,17.1,6,0,76.0,30,172,64.7,181,6,25,37,0,383,139,2.4,12.8
Shane Payton Hodges,170431,ED,JVILLE ST,7,15,0,196,1,,,12.5,,,0,0,,72.3,0,,0.0,0,0,0.0,0,2,13.3,16,0,0,0,0,0,0,0.0,,0,1,32.0,100.0,40.7,11.0,11.0,0,0,0.0,52.1,0,34,0.0,0,0,118.8,1,11,73.3,27,0,1,1,0,34,2,3.1,34.0
Zechariah Poyser,170434,S,MIAMI FL,16,519,0,220,0,1.9,57.1,95.0,27.0,15.4,0,0,0.0,66.0,0,15,16.7,1,0,102.4,4,115,22.2,121,3,5,7,1,22,13,0.2,5.5,0,4,8.9,70.6,97.1,27.2,19.2,0,4,23.5,68.0,0,38,21.1,8,4,100.9,12,332,64.0,342,5,26,17,0,163,75,0.5,13.6
Kekoura Tarnue,170438,S,W VIRGINIA,11,260,0,343,0,6.4,90.0,98.0,4.9,4.4,0,0,0.0,54.0,0,28,0.0,0,0,144.6,9,48,18.5,49,3,5,10,3,92,42,2.1,10.2,0,4,8.7,77.8,100.0,11.3,8.8,1,2,11.1,71.4,0,67,19.0,4,2,113.2,14,165,63.5,165,3,13,18,0,201,111,1.3,14.4
Aidan Thompson,170440,LB,JVILLE ST,3,25,0,196,0,,,71.4,,,0,0,,62.2,0,,,0,0,0.0,0,5,20.0,7,0,0,0,0,0,0,0.0,,0,0,5.2,100.0,88.2,3.0,3.0,0,0,0.0,30.0,0,72,0.0,0,0,158.3,5,15,60.0,17,2,2,5,1,97,71,6.5,19.4
Jacob Fields,170457,S,LA TECH,12,457,0,208,0,7.8,58.3,91.7,24.4,14.3,1,3,25.0,80.4,1,15,13.6,3,2,35.8,7,189,41.4,206,6,19,12,0,57,29,0.3,8.1,0,1,15.0,77.8,100.0,19.4,15.1,0,2,22.2,69.1,2,41,18.8,3,2,118.8,7,142,31.1,142,0,12,9,2,130,30,1.0,18.6
Cam Hill,170461,S,LA TECH,1,2,0,208,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Obinna Okeke,170464,ED,NEW MEX ST,12,3,0,242,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,21,0,0,0,0,0,0,,,0,0,,,3.3,,,0,0,,60.8,0,,,0,0,0.0,0,3,100.0,90,0,0,0,0,0,0,0.0,
Michael Richard,170466,S,LA TECH,12,365,0,208,0,11.2,48.0,100.0,12.1,5.8,0,2,8.0,64.6,1,21,22.2,2,1,43.6,12,160,43.8,160,3,7,25,0,109,47,0.8,9.1,0,1,9.6,65.0,99.1,8.2,5.4,0,1,5.0,49.6,0,56,23.1,3,1,122.1,13,111,30.4,112,7,9,20,2,156,51,1.5,12.0
Sam Brumfield,170479,LB,MEMPHIS,13,255,0,218,0,-0.5,50.0,37.9,40.0,20.0,0,0,0.0,47.2,0,10,33.3,1,0,64.6,1,44,17.3,116,4,2,2,0,10,13,0.3,10.0,0,2,9.4,77.3,79.0,8.9,6.9,0,0,0.0,38.4,1,42,28.6,6,0,81.4,17,158,62.0,200,6,13,22,0,179,72,1.2,10.5
Anthony Bynum,170480,ED,MIDDLE TN,12,5,0,224,0,,,2.9,,,0,0,,46.2,0,,,0,0,0.0,0,4,80.0,140,0,0,0,0,0,0,0.0,,0,3,,,0.4,,,0,0,,70.6,0,,20.0,1,0,0.0,0,1,20.0,253,0,1,0,0,0,0,0.0,
Chayce Smith,170490,ED,MIDDLE TN,4,1,0,224,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,,,7.7,,,0,0,,73.0,0,,0.0,0,0,0.0,0,1,100.0,13,1,2,0,0,0,0,0.0,
Da'Marcus Crosby II,170496,S,VIRGINIA,2,25,0,335,0,,,100.0,,,0,0,,64.1,0,,,0,0,0.0,0,7,28.0,7,0,0,0,0,0,0,0.0,,0,1,8.0,100.0,100.0,16.0,16.0,0,0,0.0,61.1,0,8,33.3,1,0,100.0,1,17,68.0,17,0,1,1,0,8,0,0.5,8.0
Dakerric Hobbs,170500,CB,NEW MEX ST,4,144,0,242,0,,,100.0,,,0,0,,51.5,0,,0.0,0,0,0.0,0,14,9.7,14,0,1,0,0,0,0,0.0,,0,0,7.1,72.7,100.0,11.3,8.2,0,0,0.0,69.5,0,18,0.0,0,0,83.1,8,93,64.6,93,3,6,11,0,54,24,0.6,6.8
KD Johnson,170513,DI,UTEP,12,2,0,330,0,,,1.7,,,0,1,,63.1,0,,0.0,0,0,0.0,0,2,100.0,117,2,2,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,33.3,1,0,0.0,0,0,0.0,249,4,2,0,0,0,0,,
Maddox Marcellus,170594,LB,VIRGINIA,13,159,0,335,1,8.3,42.9,89.7,17.3,7.4,0,2,28.6,74.9,0,14,16.7,1,2,50.3,3,52,32.7,58,3,4,7,0,21,14,0.4,7.0,0,3,2.8,83.3,81.5,14.8,12.3,1,0,0.0,70.8,1,14,10.0,1,0,49.3,5,75,47.2,92,5,6,6,0,32,9,0.4,6.4
Albert Nunes,170596,LB,NEW MEXICO,3,13,0,241,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,-3.0,100.0,81.8,9.0,9.0,0,0,0.0,55.6,0,8,,0,0,100.0,1,9,69.2,11,0,0,1,0,8,11,0.9,8.0
Derek Ganter Jr.,170679,S,BOISE ST,10,122,0,120,0,4.0,100.0,93.3,16.0,16.0,0,0,0.0,67.0,0,8,0.0,0,0,88.9,3,56,45.9,60,1,3,3,0,16,4,0.3,5.3,0,4,9.6,57.1,98.3,14.5,8.3,0,0,0.0,60.1,0,11,18.2,2,0,70.5,4,59,48.4,60,1,5,7,0,35,26,0.6,8.8
Jon Johnson,170699,CB,NEW MEXICO,13,440,0,241,1,16.0,45.5,100.0,11.4,5.2,0,1,9.1,66.2,0,12,0.0,0,1,56.6,5,62,14.1,62,1,5,11,0,44,8,0.8,8.8,0,1,12.8,63.2,100.0,12.1,7.7,0,6,15.8,70.0,0,35,12.1,4,5,99.7,24,304,69.1,304,5,28,38,1,330,38,1.1,13.8
Alex McLaughlin,170717,S,WASHINGTON,13,489,0,340,3,9.6,53.8,96.1,12.7,6.8,0,5,19.2,73.0,1,31,0.0,0,4,71.5,14,196,40.1,204,3,9,26,1,173,80,1.0,12.4,0,3,8.9,75.0,96.4,16.9,12.7,0,2,10.0,65.1,1,25,8.0,2,2,77.5,15,265,54.2,275,5,20,20,0,162,88,0.6,10.8
Michael Jordan Jr.,170734,DI,FRESNO ST,13,1,0,169,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,43,0,0,0,0,0,0,,,0,0,,,1.1,,,0,0,,59.4,0,,0.0,0,0,0.0,0,1,100.0,87,1,1,0,0,0,0,0.0,
Jaden DaCosta,170741,S,WYOMING,4,15,0,351,0,5.0,0.0,100.0,,3.0,0,0,0.0,49.7,0,,,0,0,39.6,0,3,20.0,3,0,0,1,0,0,0,0.0,,0,0,5.0,100.0,88.9,8.0,8.0,0,0,0.0,65.4,0,9,0.0,0,0,104.2,1,8,53.3,9,0,1,1,0,9,4,1.1,9.0
Michael Montgomery,170754,LB,SO MISS,12,299,0,296,0,1.5,100.0,77.6,28.0,28.0,0,1,50.0,73.7,0,72,33.3,1,1,118.8,2,59,19.7,76,4,2,2,0,75,72,1.3,37.5,0,3,5.5,82.4,89.2,13.1,10.8,0,0,0.0,63.7,2,47,6.7,1,0,63.4,14,189,63.2,212,2,11,17,0,148,91,0.8,10.6
Matthew Traynor,170914,S,WISCONSIN,5,23,0,349,0,,,100.0,,,0,0,,60.8,0,,,0,0,0.0,0,2,8.7,2,0,0,0,0,0,0,0.0,,0,1,9.0,50.0,100.0,16.0,8.0,0,0,0.0,53.8,0,5,0.0,0,0,56.3,1,18,78.3,18,1,1,2,0,5,0,0.3,5.0
TJ McGill,170943,S,JAMES MAD,9,42,0,197,0,-5.0,0.0,100.0,,20.0,0,0,0.0,67.2,0,,0.0,0,0,39.6,0,20,47.6,20,0,1,1,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.1,0,,50.0,1,0,0.0,0,18,42.9,18,0,1,0,0,0,0,0.0,
Isaiah Birl,170959,S,ARMY,1,4,0,114,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,4.0,0.0,60.0,,3.0,0,0,0.0,61.5,0,,,0,0,39.6,0,3,75.0,5,0,0,1,0,0,0,0.0,
Mitch Bolden,170961,S,MIAMI OH,1,3,0,221,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,50.4,0,,,0,0,0.0,0,3,100.0,3,0,0,0,0,0,0,0.0,
Jaxon Hammond,170978,CB,ARMY,10,100,0,114,0,19.7,33.3,100.0,9.0,3.0,0,2,66.7,76.9,0,6,,0,2,81.9,1,12,12.0,12,0,0,3,1,6,0,0.7,6.0,0,2,9.3,87.5,100.0,8.6,7.5,0,1,12.5,56.9,0,27,16.7,1,0,117.2,7,64,64.0,64,1,3,8,0,97,50,1.6,13.9
Tano Letuli,170988,LB,S DIEGO ST,6,105,0,284,0,12.0,0.0,70.3,,26.0,0,0,0.0,66.2,0,,0.0,0,0,39.6,0,26,24.8,37,0,1,1,0,0,0,0.0,,0,1,6.3,75.0,95.2,9.5,7.1,0,1,12.5,91.6,1,9,30.0,3,1,38.5,6,60,57.1,63,3,6,8,0,26,17,0.5,4.3
Elo Modozie,170992,ED,GEORGIA,14,19,0,173,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,30,0,0,0,0,0,0,,,0,0,7.0,0.0,27.9,,16.0,0,0,0.0,65.0,0,,50.0,1,0,39.6,0,17,89.5,61,0,1,1,0,0,0,0.0,
Baylor Newsom,170996,LB,ARMY,3,16,0,114,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,,,0,1,13.0,100.0,100.0,6.0,6.0,0,0,0.0,46.0,0,16,0.0,0,0,158.3,2,12,75.0,12,0,2,2,1,27,10,2.3,13.5
Noah Nixon,170997,ED,ARMY,12,24,0,114,0,,,9.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,4.2,11,0,0,0,0,0,0,0.0,,0,0,7.3,66.7,55.9,9.5,6.3,0,0,0.0,53.0,0,21,33.3,1,0,99.3,2,19,79.2,34,1,2,3,0,30,11,1.6,15.0
Stephen Nnadozie,170998,S,ARMY,11,125,0,114,0,7.0,100.0,85.7,9.0,9.0,0,0,0.0,58.0,0,9,0.0,0,0,104.2,1,12,9.6,14,0,1,1,0,9,2,1.0,9.0,0,4,14.5,50.0,100.0,78.0,39.0,0,0,0.0,77.5,1,19,16.7,2,0,43.8,1,82,65.6,82,1,6,2,0,19,0,0.2,19.0
Dillon Stowers,171019,DI,ARMY,11,2,0,114,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,10,0,0,0,0,0,0,,,0,0,,,2.6,,,0,0,,60.2,0,,,0,0,0.0,0,2,100.0,77,0,0,0,0,0,0,0.0,
Christian Yousefzadeh,171032,ED,ARMY,2,4,0,114,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,,,0,0,,,66.7,,,0,0,,61.4,0,,,0,0,0.0,0,4,100.0,6,0,0,0,0,0,0,0.0,
Cam Chadwick,171036,CB,UCONN,13,422,0,146,2,10.0,69.2,95.3,5.1,3.5,1,4,15.4,53.5,1,90,7.1,1,2,135.4,18,102,24.2,107,3,11,26,4,399,256,4.3,22.2,0,1,9.3,66.7,100.0,13.9,9.3,0,1,4.2,75.2,2,20,8.7,2,1,49.8,16,228,54.0,228,7,20,24,0,155,49,0.7,9.7
Cleto Chol,171038,DI,UCONN,10,2,0,146,0,,,15.4,,,0,0,,59.0,0,,,0,0,0.0,0,2,100.0,13,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,67.8,0,,0.0,0,0,0.0,0,0,0.0,24,0,1,0,0,0,0,,
Oumar Diomande,171041,LB,UCONN,13,287,0,146,0,4.5,50.0,34.0,29.0,14.5,0,0,0.0,45.9,0,10,0.0,0,0,104.2,1,33,11.5,97,4,1,2,1,10,0,0.3,10.0,0,5,4.0,73.3,78.5,8.2,6.0,0,0,0.0,55.7,0,22,24.1,7,0,86.4,22,183,63.8,233,12,17,30,0,167,98,0.9,7.6
Brandon Kelley,171053,ED,UCONN,4,4,0,146,0,,,30.8,,,0,0,,60.4,0,,,0,0,0.0,0,4,100.0,13,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,13,1,0,0,0,0,0,,
Amir Renwick,171059,LB,UCONN,8,30,0,146,0,10.0,100.0,42.9,5.0,5.0,0,0,0.0,90.4,1,1,,0,0,79.2,1,6,20.0,14,1,0,1,1,1,0,0.2,1.0,0,2,2.5,100.0,83.3,3.8,3.8,0,0,0.0,63.4,0,19,20.0,1,0,99.0,4,15,50.0,18,2,2,4,0,31,21,2.1,7.8
Gabriel Iniguez Jr.,171068,DI,UTAH ST,13,2,0,329,0,,,1.5,,,0,0,,56.6,0,,100.0,2,0,0.0,0,2,100.0,130,2,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,68.0,0,,0.0,0,0,0.0,0,0,0.0,261,0,0,0,0,0,0,,
Jaiden Ausberry,171075,LB,NOTRE DAME,12,192,0,258,0,0.0,100.0,61.7,81.0,81.0,0,0,0.0,59.3,0,2,66.7,2,0,79.2,1,87,45.3,141,1,1,1,0,2,2,0.0,2.0,0,2,2.5,73.3,86.0,8.4,6.1,0,0,0.0,57.8,0,28,21.4,3,0,88.5,11,98,51.0,114,8,9,15,0,91,71,1.0,8.3
Drayk Bowen,171077,LB,NOTRE DAME,12,285,0,258,1,3.9,46.7,66.4,19.0,8.9,0,3,20.0,72.3,0,27,37.5,3,2,85.7,7,144,50.5,217,5,4,15,1,81,62,0.6,11.6,0,2,8.4,88.2,88.3,8.0,7.1,0,0,0.0,52.8,0,33,17.6,3,0,105.1,15,128,44.9,145,6,12,17,0,157,48,1.3,10.5
Ben Minich,171092,CB,NOTRE DAME,2,4,0,258,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,1,0,0,0,0,0,0,0.0,,0,0,9.0,100.0,100.0,1.0,1.0,0,0,0.0,51.9,0,16,,0,0,118.8,1,2,50.0,2,0,0,1,0,16,7,16.0,16.0
Kobi Onyiuke,171094,ED,NOTRE DAME,6,1,0,258,0,,,11.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,9,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,10,0,0,0,0,0,0,,
Adon Shuler,171098,S,NOTRE DAME,12,400,0,258,1,8.5,66.7,97.8,20.9,13.9,0,0,0.0,57.9,1,27,12.5,2,0,76.5,10,223,55.8,228,5,13,15,1,88,32,0.4,8.8,0,2,10.4,61.5,99.4,19.6,12.1,1,3,23.1,74.4,1,21,26.3,5,3,48.2,8,165,41.3,166,1,12,13,0,84,23,0.5,10.5
