player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Placide Djungu-Sungu,143851,S,BAYLOR,1,0,0,,0,0,118,0,0,60.0,60.3,66.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,1,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,
Tre Freeman,143853,LB,DUKE,13,13,1,69.2,0,1,154,0,0,66.9,66.2,84.6,67.3,61.9,43.5,0,3,1,2,68,21.1,15,2,0,80.0,18,2,0,443,2,238,535,45,0,0,45,0,1,490,46,251,43,24,43,4,26,5,1,246,231,13.7
Aaron Hall,143855,DI,DUKE,14,8,1,,0,0,154,0,0,60.0,72.6,26.2,68.3,75.9,59.0,7,21,0,0,,11.6,5,0,5,0.0,0,3,0,0,0,0,621,621,57,516,3,45,0,0,349,272,0,25,30,9,0,31,0,0,0,
Nick Morris Jr.,143867,LB,DUKE,4,5,0,80.0,0,0,154,1,0,44.3,60.2,80.1,56.9,77.7,46.7,1,3,0,0,13,20.8,5,0,0,135.4,4,0,0,143,0,61,150,1,0,0,1,0,0,149,20,69,6,13,14,4,5,4,1,35,12,8.8
Shyheim Brown,143874,S,FLORIDA ST,11,8,0,66.7,0,0,167,0,0,50.0,56.6,82.2,64.5,66.0,50.8,0,2,0,0,29,20.0,6,0,0,121.9,8,1,0,121,2,106,215,16,0,0,16,0,39,199,5,104,36,5,16,0,12,3,1,105,29,13.1
Omarion Cooper,143877,CB,MEMPHIS,13,6,0,55.0,1,1,218,0,0,67.5,69.7,85.6,56.0,76.0,53.4,0,0,0,1,65,19.6,9,4,3,100.3,22,0,0,85,632,389,738,14,0,0,14,0,4,724,4,345,0,11,31,1,40,0,3,363,133,16.5
Shambre Jackson,143884,ED,UMASS,10,4,1,,0,0,216,0,0,60.0,59.8,60.7,58.8,60.2,77.2,1,6,0,0,,4.0,1,0,1,0.0,0,1,0,0,0,0,371,371,4,146,129,92,0,0,174,197,0,16,20,0,0,8,0,0,0,
Patrick Payton,143893,ED,LSU,13,7,4,100.0,0,0,211,1,0,74.6,69.0,59.5,66.6,66.8,43.0,4,22,0,0,11,22.5,9,0,2,112.5,1,1,0,0,0,7,597,597,0,12,550,35,0,0,341,249,0,18,24,2,1,27,0,11,5,11.0
Byron Turner Jr.,143897,ED,TULSA,10,5,1,,1,0,320,1,0,62.7,67.7,29.4,70.3,63.6,70.1,4,8,0,0,,18.8,3,0,2,0.0,0,5,0,0,0,0,279,279,0,2,237,40,0,0,144,135,0,12,8,3,0,17,0,0,0,
Hunter Washington,143898,S,MISS STATE,13,7,0,69.6,0,0,227,0,0,50.3,49.1,0.0,56.1,52.8,63.3,0,1,0,1,64,16.3,8,1,4,120.7,16,0,0,210,6,229,445,6,0,0,6,0,122,439,5,211,101,6,34,0,23,1,3,216,67,13.5
