player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Jayden Marable,129183,DI,MEMPHIS,12,0,0,218,62.1,0,4,114,99.2,7.0,8,0,1.8,0,122,121,4,0,61.1,0,0,21,100.0,9.5,2,0.0,0,24,24,0
Arion Carter,129186,LB,TENNESSEE,10,0,0,307,59.0,0,9,38,15.5,10.5,4,0,14.5,1,277,43,10,0,62.6,0,6,20,19.6,15.0,3,20.0,1,112,22,7
Mose Phillips III,129334,S,MISSOURI,8,0,0,229,58.2,0,0,2,2.6,0.0,0,0,0.0,0,76,2,0,0,,0,0,0,0.0,,0,,0,26,0,0
Chris Keys Jr.,129445,S,FAU,12,0,0,165,55.4,0,0,2,1.0,0.0,0,0,0.0,0,305,3,0,0,59.7,0,0,1,1.0,0.0,0,0.0,0,103,1,0
Damarjhe Lewis,129447,DI,SMU,2,0,0,287,58.8,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,59.9,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Brenden Deasfernandes,129465,CB,C MICHIGAN,13,0,0,134,59.2,0,0,1,0.3,0.0,0,3,0.0,0,376,1,0,0,,0,0,0,0.0,,0,,0,116,0,0
Ethan Hurkett,129471,ED,IOWA,13,0,0,192,71.2,3,12,293,96.5,10.9,32,0,4.9,7,318,307,22,0,72.2,2,7,138,94.8,15.9,22,8.3,7,154,146,16
Devyn King,129521,CB,HAWAII,12,0,0,180,60.0,0,0,0,0.4,,0,2,,0,282,1,0,0,,0,0,0,0.0,,0,,0,100,0,0
Nikhai Hill-Green,129582,LB,ALABAMA,15,2,0,103,57.9,1,3,41,18.7,2.4,1,0,4.9,0,230,43,4,1,58.0,0,3,19,29.7,5.3,1,7.9,0,64,19,3
Avery Dunn,129611,ED,TOLEDO,11,0,0,316,63.9,0,6,117,97.0,9.4,11,0,3.4,1,134,130,7,0,59.7,0,3,42,100.0,7.1,3,3.6,0,48,48,3
Devin Hightower,129621,LB,UAB,12,0,1,321,68.9,1,9,24,8.8,20.8,5,1,25.0,1,284,25,11,0,66.5,0,7,13,11.9,30.8,4,26.9,0,118,14,7
Jasiyah Robinson,129632,ED,E CAROLINA,13,0,0,156,71.3,3,14,206,95.6,10.2,21,0,7.5,7,229,219,24,0,58.6,2,2,49,89.3,10.2,5,8.2,2,56,50,6
Darius Snow,129635,LB,MICH STATE,12,0,0,223,66.5,0,1,10,11.8,0.0,0,0,15.0,1,85,10,2,0,,0,0,0,0.0,,0,,0,15,0,0
Lucas Finnessy,129651,ED,MINNESOTA,12,0,0,225,53.3,1,2,51,94.6,0.0,0,0,2.9,0,56,53,3,0,53.6,1,0,13,93.3,0.0,0,3.8,0,15,14,1
Gage Keys,129657,DI,KANSAS,3,0,0,198,61.7,1,0,10,100.0,0.0,0,0,5.0,0,11,11,1,0,58.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Jalen Logan-Redding,129661,DI,MINNESOTA,13,0,1,225,61.0,2,5,219,100.0,5.5,12,1,1.6,0,228,228,7,0,67.0,0,2,59,100.0,11.9,7,1.7,0,61,61,2
Marquis Black,129675,DI,UCONN,12,0,0,146,56.5,0,0,84,94.7,0.0,0,0,2.4,2,95,90,2,0,57.0,0,0,28,93.8,0.0,0,3.6,1,32,30,1
Jimari Butler,129679,ED,LSU,12,2,0,211,68.8,4,11,159,86.8,9.4,15,0,6.0,2,197,171,17,0,66.3,1,5,70,90.6,15.7,11,7.1,2,85,77,8
Tamon Lynum,129699,CB,PITTSBURGH,10,0,0,268,65.7,1,0,2,1.1,0.0,0,2,25.0,0,182,2,1,0,,0,0,0,0.0,,0,,0,71,0,0
Jaheem Joseph,129726,S,UNLV,14,0,0,325,68.2,1,4,25,6.1,0.0,0,1,26.0,4,413,25,9,0,63.7,0,2,6,5.6,0.0,0,33.3,1,108,6,3
Gunner Maldonado,129727,S,KANSAS ST,12,0,0,199,60.0,0,1,0,0.4,,0,1,,0,276,1,1,0,60.0,0,0,0,0.9,,0,,0,110,1,0
Nigel Williams,129739,LB,LOUISVILLE,2,0,0,210,59.5,0,1,2,18.2,0.0,0,0,25.0,0,11,2,1,0,,0,0,0,0.0,,0,,0,3,0,0
Darrion Henry-Young,129748,ED,COAST CAR,12,0,0,141,63.7,1,2,66,100.0,9.1,6,0,2.3,0,69,69,3,0,60.1,0,0,6,100.0,16.7,1,0.0,0,8,8,0
Cameron Martinez,129752,CB,BOSTON COL,4,0,0,121,55.5,1,0,3,4.4,0.0,0,2,16.7,0,68,3,1,0,56.0,0,0,2,5.1,0.0,0,0.0,0,39,2,0
Mitchell Melton,129753,ED,VIRGINIA,14,1,1,335,80.4,7,40,295,92.1,14.9,44,2,10.0,6,330,304,53,1,78.1,2,24,145,93.2,18.6,27,11.0,3,161,150,29
Cole Brevard,129766,DI,TEXAS,13,0,0,311,67.8,0,10,139,99.3,7.9,11,0,3.6,0,150,149,10,0,61.3,0,4,32,97.3,9.4,3,6.3,0,37,36,4
Zuriah Fisher,129778,ED,PENN STATE,11,1,1,266,69.9,7,22,206,94.8,15.5,32,5,7.5,1,229,217,30,1,75.1,3,17,98,93.8,24.5,24,11.2,1,112,105,21
Antonio Stevens,129833,S,KENNESAW,11,0,0,200,63.0,0,0,11,5.2,9.1,1,1,0.0,0,229,12,0,0,,0,0,0,0.0,,0,,0,51,0,0
Andrew Awe,129839,LB,RICE,13,0,0,275,72.2,2,11,37,9.1,10.8,4,0,33.8,6,449,41,19,0,77.0,0,3,26,25.2,15.4,4,28.8,6,119,30,9
