player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Brendan Sorsby,156398,QB,CINCINNATI,12,71.0,310,336,10.6,2.82,6,23,6.4,61.0,205,0,114,6.8,378,15,142,138,70.1,90.5,86.9,76.9,1,5,400,0,6.1,107.0,1.9,7,34,1,18,26,7,1.8,2783,8.3
Jalen Kitna,146688,QB,UAB,10,73.8,321,336,8.1,2.75,4,8,2.3,66.4,223,0,111,5.9,362,14,122,321,66.2,64.6,62.1,65.5,3,10,383,2,16.2,88.4,5.0,18,8,0,8,13,19,5.0,2462,7.3
Bryce Underwood,198795,QB,MICHIGAN,13,71.2,323,335,8.9,2.72,7,14,4.0,60.3,202,0,127,12.2,399,28,131,222,54.0,70.0,66.8,67.1,1,9,417,1,17.3,82.3,5.5,22,40,0,4,11,15,3.6,2428,7.2
Behren Morton,144747,QB,TEXAS TECH,12,75.2,315,335,8.0,2.59,6,22,6.3,65.4,219,0,89,7.6,368,18,112,315,64.1,72.0,72.7,50.1,2,6,382,1,23.6,105.6,5.7,21,12,1,11,22,17,4.5,2780,8.3
Taylen Green,145996,QB,ARKANSAS,12,71.3,296,329,9.5,3.2,4,11,3.2,60.2,198,0,142,6.2,393,13,145,111,65.3,83.0,66.2,92.2,8,11,417,2,19.0,91.9,6.9,27,37,0,21,19,22,5.3,2714,8.2
Nico Iamaleava,174728,QB,UCLA,11,74.0,300,329,7.9,2.83,10,9,2.6,63.8,210,0,155,5.4,406,12,129,324,42.1,72.0,64.1,78.0,8,7,425,2,18.1,84.2,6.9,28,49,4,7,13,10,2.4,1941,5.9
Jack Layne,158966,QB,NEW MEXICO,13,74.4,301,326,8.7,2.72,7,18,5.0,65.3,213,0,153,4.9,399,11,127,241,60.1,73.1,71.4,67.6,2,10,438,2,21.6,88.8,8.3,33,39,0,16,13,12,2.7,2486,7.6
Tucker Gleason,122475,QB,TOLEDO,12,77.5,302,325,9.1,2.74,5,18,5.2,64.3,209,0,112,10.7,346,25,120,316,50.3,90.5,90.4,65.9,4,9,364,4,8.0,97.9,2.6,9,12,2,12,21,10,2.7,2517,7.7
Robby Ashford,131702,QB,WAKE,12,68.5,305,322,7.7,2.83,5,19,5.5,59.0,190,1,116,9.1,381,19,111,339,37.8,68.9,64.8,68.8,1,8,405,5,10.3,85.2,3.1,12,41,0,11,12,17,4.2,2467,7.7
Jalon Daniels,122555,QB,KANSAS,12,72.3,303,321,10.1,2.87,4,18,5.4,61.7,198,0,117,9.6,369,21,132,198,29.8,77.1,72.0,72.3,2,7,385,1,15.4,100.1,4.9,18,30,1,11,22,15,3.9,2531,7.9
